iter	Passed	Remaining
455	395	3071
456	395	3068
457	396	3067
458	397	3065
459	398	3063
460	398	3061
461	399	3058
462	400	3056
463	400	3053
464	401	3051
465	402	3049
466	402	3046
467	403	3043
468	403	3041
469	404	3039
470	405	3036
471	406	3035
472	406	3033
473	407	3032
474	408	3030
475	408	3027
476	409	3025
477	410	3023
478	411	3021
479	411	3019
480	412	3017
481	413	3015
482	413	3012
483	414	3010
484	415	3008
485	415	3005
486	416	3002
487	416	3000
488	417	2997
489	418	2994
490	418	2992
491	419	2989
492	419	2986
493	420	2985
494	421	2982
495	421	2980
496	422	2978
497	423	2975
498	423	2972
499	424	2970
500	424	2967
501	425	2965
502	426	2962
503	427	2964
504	427	2961
505	428	2959
506	429	2957
507	429	2954
508	430	2951
509	430	2949
510	431	2946
511	432	2944
512	432	2942
513	433	2939
514	434	2937
515	434	2935
516	435	2933
517	436	2935
518	437	2933
519	437	2931
520	438	2928
521	439	2926
522	439	2924
523	440	2922
524	441	2920
525	441	2918
526	442	2917
527	443	2915
528	444	2913
529	444	2911
530	445	2908
531	445	2907
532	446	2904
533	447	2902
534	447	2900
535	448	2898
536	449	2896
537	449	2894
538	451	2896
539	451	2894
540	452	2891
541	452	2889
542	453	2886
543	454	2884
544	454	2882
545	455	2880
546	456	2878
547	456	2876
548	457	2873
549	457	2872
550	458	2871
551	460	2873
552	460	2871
553	461	2870
554	462	2867
555	462	2865
556	463	2863
557	464	2862
558	464	2860
559	465	2859
560	466	2857
561	466	2855
562	467	2853
563	468	2851
564	468	2850
565	469	2848
566	470	2847
567	471	2845
568	471	2844
569	472	2842
570	472	2840
571	473	2838
572	474	2836
573	474	2834
574	475	2833
575	476	2831
576	476	2829
577	477	2827
578	478	2825
579	478	2823
580	479	2821
581	480	2819
582	480	2818
583	481	2817
584	482	2815
585	482	2813
586	483	2811
587	484	2809
588	484	2807
589	485	2806
590	486	2804
591	486	2802
592	487	2799
593	487	2797
594	488	2795
595	489	2793
596	489	2792
597	490	2790
598	491	2788
599	491	2786
600	492	2784
601	492	2782
602	493	2780
603	494	2778
604	494	2776
605	495	2774
606	496	2772
607	496	2770
608	497	2768
609	497	2766
610	498	2764
611	499	2764
612	499	2762
613	500	2760
614	501	2759
615	502	2758
616	502	2757
617	503	2756
618	504	2756
619	505	2754
620	506	2753
621	506	2751
622	507	2750
623	508	2751
624	509	2749
625	509	2748
626	510	2746
627	511	2744
628	511	2742
629	512	2741
630	513	2739
631	513	2737
632	514	2736
633	515	2734
634	516	2734
635	516	2733
636	517	2732
637	518	2730
638	518	2728
639	519	2727
640	520	2725
641	520	2724
642	521	2722
643	522	2720
644	522	2718
645	523	2717
646	524	2715
647	524	2714
648	525	2712
649	525	2710
650	526	2708
651	527	2706
652	527	2704
